Skill ID Number,Dive Number,Skill Name,Skill Type,Skill Description,Skill Group,Skill Training Points,Skill Difficulty,Skill Rating,Skill Video,Skill Pictures
48,,Double Bouncing Front Jump No circle,Trampoline,,,,,,,
49,,Double Bouncing Front Jump With Armcircle,Trampoline,,,,,,,
50,,Triple Bouncing Front Jump No Armcircle,Trampoline,,,,,,,
51,,Triple Bouncing Front Jump With Armcircle,Trampoline,,,,,,,
52,,Five Bounce Front Jump No Armcircle,Trampoline,,,,,,,
53,,Five Bounce Front Jump Armcircle,Trampoline,,,,,,,
54,,Back Flip Tuck,Trampoline,,,,,,,
55,,Back Flip Pike,Trampoline,,,,,,,
56,,Back Flip Straight,Trampoline,,,,,,,
57,,Front Somersault Tuck,Trampoline,,,,,,,
58,,Reverse Flip Tuck,Trampoline,,,,,,,
59,,Reverse Flip Pike,Trampoline,,,,,,,
60,,Reverse Flip Straight,Trampoline,,,,,,,
61,,Front Somersault Pike,Trampoline,,,,,,,
62,,Front Somersault Straight,Trampoline,,,,,,,
63,,Inward Somersault Tuck,Trampoline,,,,,,,
64,,Inward Somersault Pike,Trampoline,,,,,,,
65,,Inward Somersault Straight,Trampoline,,,,,,,
66,,Back 1 SS 1/2 Twist,Trampoline,,,,,,,
67,,Back 1 SS 1 Twist,Trampoline,,,,,,,
68,,Back 1 SS 1 1/2 Twists,Trampoline,,,,,,,
69,,Reverse 1 SS 1/2 Twist,Trampoline,,,,,,,
70,,Reverse 1 SS 1 Twist,Trampoline,,,,,,,
71,,Reverse 1 SS 1 1/2 Twists,Trampoline,,,,,,,
72,,Forward 1 SS 1/2 Twist,Trampoline,,,,,,,
73,,Forward 1 SS 1 Twist,Trampoline,,,,,,,
74,,Forward 1 SS 1 1/2 Twists,Trampoline,,,,,,,
75,,Forward 1 SS 2 Twists,Trampoline,,,,,,,
76,,Hurdle progression,Dryboard,,,,,,,
77,,Standing Front Jump NO Armcircle,Dryboard,,,,,,,
78,,Standing Front Jump W ArmCircle,Dryboard,,,,,,,
79,,H-Step NO Armcircle,Dryboard,,,,,,,
80,,H-Step w Armcircle,Dryboard,,,,,,,
81,,One Step Hurdle NO Armcircle,Dryboard,,,,,,,
82,,One Step Hurdle W Armcircle,Dryboard,,,,,,,
83,,Full Approach NO Armcircle,Dryboard,,,,,,,
84,,Full Approach With Armcircle,Dryboard,,,,,,,
85,,Front Jump 1/2 Twist,Dryboard,,,,,,,
86,,Front Jump 1 Twist,Dryboard,,,,,,,
87,,Back Jump 1/2 Twist,Dryboard,,,,,,,
88,,Back Jump 1 Twist ,Dryboard,,,,,,,
89,,Back Drop Tuck,Dryboard,,,,,,,
90,,Back Drop Pike,Dryboard,,,,,,,
91,,Back Drop Straight,Dryboard,,,,,,,
92,,Reverse Drop Tuck,Dryboard,,,,,,,
93,,Reverse Drop Pike,Dryboard,,,,,,,
94,,Reverse Drop Straight,Dryboard,,,,,,,
95,,Double Bouncing Front Jump No circle,Dryboard,,,,,,,
96,,Double Bouncing Front Jump With Armcircle,Dryboard,,,,,,,
97,,Triple Bouncing Front Jump No Armcircle,Dryboard,,,,,,,
98,,Triple Bouncing Front Jump With Armcircle,Dryboard,,,,,,,
99,,Five Bounce Front Jump No Armcircle,Dryboard,,,,,,,
100,,Five Bounce Front Jump Armcircle,Dryboard,,,,,,,
101,,Back Flip Tuck,Dryboard,,,,,,,
102,,Back Flip Pike,Dryboard,,,,,,,
103,,Back Flip Straight,Dryboard,,,,,,,
104,,Reverse Flip Tuck,Dryboard,,,,,,,
105,,Reverse Flip Pike,Dryboard,,,,,,,
106,,Reverse Flip Straight,Dryboard,,,,,,,
107,,Front Somersault Pike,Dryboard,,,,,,,
108,,Front Somersault Straight,Dryboard,,,,,,,
109,,Inward Somersault Tuck,Dryboard,,,,,,,
